Sheet: Central States
Dimensions: 106074 rows x 19 cols
Non-empty cells: 2789
Data rows (non-blank): 199
================================================================================

Row 2: [2]=Macro Mark | [3]=Central Mark | [4]=Price | [5]=Weight | [7]=ItemID | [8]=ItemDescription | [9]=UnitCost | [10]=ItemProductType | [11]=ItemProfile | [12]=ItemColor | [13]=ItemGauge | [14]=ItemAccessoryType | [15]=ItemTrimType | [16]=BaseItemID | [17]=ProductSubcategory | [18]=ItemUOM | [19]=ItemWeight
Row 19: [3]=0200RIDGEBI182 | [4]=8.427912 | [5]=15.26 | [7]=0200RIDGEBI182 | [8]=Brilliant,26,0200RIDGE,18'2'' | [9]=7.7856 | [10]=Trim | [12]=Brilliant | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
Row 20: [3]=0200RIDGEBI204 | [4]=9.27908175 | [5]=17.1 | [7]=0200RIDGEBI204 | [8]=Brilliant,26,0200RIDGE,20'4'' | [9]=8.5719 | [10]=Trim | [12]=Brilliant | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE204 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=17.1
Row 21: [3]=0200RIDGEBR102 | [4]=4.71612775 | [5]=8.55 | [7]=0200RIDGEBR102 | [8]=Brown,26,0200RIDGE,10'2'' | [9]=4.3567 | [10]=Trim | [12]=Brown | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 22: [3]=0200RIDGEBR122 | [4]=5.64491275 | [5]=10.22 | [7]=0200RIDGEBR122 | [8]=Brown,26,0200RIDGE,12'2'' | [9]=5.2147 | [10]=Trim | [12]=Brown | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 23: [3]=0200RIDGEBR142 | [4]=6.57261525 | [5]=11.9 | [7]=0200RIDGEBR142 | [8]=Brown,26,0200RIDGE,14'2'' | [9]=6.0717 | [10]=Trim | [12]=Brown | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
Row 24: [3]=0200RIDGEBR162 | [4]=7.50031775 | [5]=13.58 | [7]=0200RIDGEBR162 | [8]=Brown,26,0200RIDGE,16'2'' | [9]=6.9287 | [10]=Trim | [12]=Brown | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE162 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=13.58
Row 25: [3]=0200RIDGEBR182 | [4]=8.427912 | [5]=15.26 | [7]=0200RIDGEBR182 | [8]=Brown,26,0200RIDGE,18'2'' | [9]=7.7856 | [10]=Trim | [12]=Brown | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
Row 26: [3]=0200RIDGEBR204 | [4]=9.27908175 | [5]=17.1 | [7]=0200RIDGEBR204 | [8]=Brown,26,0200RIDGE,20'4'' | [9]=8.5719 | [10]=Trim | [12]=Brown | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE204 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=17.1
Row 27: [3]=0200RIDGEBS102 | [4]=4.71612775 | [5]=8.55 | [7]=0200RIDGEBS102 | [8]=B.Slate,26,0200RIDGE,10'2'' | [9]=4.3567 | [10]=Trim | [12]=Burnished Slate | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 28: [3]=0200RIDGEBS122 | [4]=5.64491275 | [5]=10.22 | [7]=0200RIDGEBS122 | [8]=B.Slate,26,0200RIDGE,12'2'' | [9]=5.2147 | [10]=Trim | [12]=Burnished Slate | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 29: [3]=0200RIDGEBS142 | [4]=6.57261525 | [5]=11.9 | [7]=0200RIDGEBS142 | [8]=B.Slate,26,0200RIDGE,14'2'' | [9]=6.0717 | [10]=Trim | [12]=Burnished Slate | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
Row 30: [3]=0200RIDGEBS162 | [4]=7.50031775 | [5]=13.58 | [7]=0200RIDGEBS162 | [8]=B.Slate,26,0200RIDGE,16'2'' | [9]=6.9287 | [10]=Trim | [12]=Burnished Slate | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE162 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=13.58
Row 31: [3]=0200RIDGEBS182 | [4]=8.427912 | [5]=15.26 | [7]=0200RIDGEBS182 | [8]=B.Slate,26,0200RIDGE,18'2'' | [9]=7.7856 | [10]=Trim | [12]=Burnished Slate | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
Row 32: [3]=0200RIDGEBS204 | [4]=9.27908175 | [5]=17.1 | [7]=0200RIDGEBS204 | [8]=B.Slate,26,0200RIDGE,20'4'' | [9]=8.5719 | [10]=Trim | [12]=Burnished Slate | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE204 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=17.1
